ticker,company_name,price,chg_pct,net_score,bull,bear,verdict,bars,mode,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
EXC,Exelon Corporation,45.61,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),46.03,44.15,bullish,45.31,R 38.2%,44.87,R 61.8%,46.03,E 100.0%,46.54,E 127.2%,47.19,E 161.8%,1.64,2.8,4.27,46.03,E 100.0%,45.59,46.03,45.59,45.31,45.09,44.87,44.55,46.03,46.54,46.75,47.19,47.91,49.07
ADP,"Automatic Data Processing, Inc.",231.1,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),237.11,223.95,bullish,232.08,R 38.2%,228.98,R 61.8%,237.11,E 100.0%,240.69,E 127.2%,245.24,E 161.8%,1.62,2.78,4.25,237.11,E 100.0%,230.53,232.08,234.0,232.08,230.53,228.98,226.77,237.11,240.69,242.14,245.24,250.27,258.4
ROST,"Ross Stores, Inc.",231.92,,5,5,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),235.02,221.57,bullish,229.88,R 38.2%,226.7,R 61.8%,235.02,E 100.0%,238.68,E 127.2%,243.33,E 161.8%,1.62,2.77,4.23,235.02,E 100.0%,231.84,235.02,231.84,229.88,228.29,226.7,224.44,235.02,238.68,240.16,243.33,248.47,256.79
PAYX,"Paychex, Inc.",101.1,,3,4,1,Moderately bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,Overbought,bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),102.92,97.26,bullish,100.76,R 38.2%,99.42,R 61.8%,102.92,E 100.0%,104.46,E 127.2%,106.42,E 161.8%,1.61,2.76,4.22,102.92,E 100.0%,100.76,101.58,101.58,100.76,100.09,99.42,98.47,102.92,104.46,105.08,106.42,108.58,112.08
SHOP,Shopify Inc.,108.2,,3,4,1,Moderately bullish,251,Daily,bull,Stale red (3-bar reversal),neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),124.62,106.4,bullish,117.66,R 38.2%,113.36,R 61.8%,124.62,E 100.0%,129.58,E 127.2%,135.89,E 161.8%,1.62,2.77,4.24,124.62,E 100.0%,,110.3,120.32,117.66,115.51,113.36,110.3,124.62,129.58,131.59,135.89,142.85,154.11
AXON,"Axon Enterprise, Inc.",447.59,,3,4,1,Moderately bullish,251,Daily,bull,Stale red (3-bar reversal),neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Breakout above prior resistance,session (no premarket),515.8,436.36,bullish,485.45,R 38.2%,466.71,R 61.8%,515.8,E 100.0%,537.41,E 127.2%,564.89,E 161.8%,1.62,2.77,4.24,515.8,E 100.0%,,453.36,497.05,485.45,476.08,466.71,453.36,515.8,537.41,546.15,564.89,595.24,644.33
FTNT,"Fortinet, Inc.",138.88,,3,4,1,Moderately bullish,251,Daily,bull,Bullish harami,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),150.07,133.05,bullish,143.57,R 38.2%,139.55,R 61.8%,150.07,E 100.0%,154.7,E 127.2%,160.59,E 161.8%,1.62,2.77,4.23,150.07,E 100.0%,136.69,139.55,146.05,143.57,141.56,139.55,136.69,150.07,154.7,156.57,160.59,167.09,177.61
PANW,"Palo Alto Networks, Inc.",263.22,,3,4,1,Moderately bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),session (no premarket),302.95,251.15,bullish,283.16,R 38.2%,270.94,R 61.8%,302.95,E 100.0%,317.04,E 127.2%,334.96,E 161.8%,1.62,2.77,4.24,302.95,E 100.0%,262.24,270.94,290.73,283.16,277.05,270.94,262.24,302.95,317.04,322.74,334.96,354.75,386.76
AEP,"American Electric Power Company, Inc.",128.53,,3,4,1,Moderately bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bear,Break below prior support,session (no premarket),130.22,123.74,bullish,127.74,R 38.2%,126.22,R 61.8%,130.22,E 100.0%,131.98,E 127.2%,134.22,E 161.8%,1.63,2.79,4.26,130.22,E 100.0%,127.74,128.69,128.69,127.74,126.98,126.22,125.13,130.22,131.98,132.7,134.22,136.7,140.7
TTWO,"Take-Two Interactive Software, Inc.",210.46,,3,4,1,Moderately bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bear,Wide divergence below SMA,neutral,No open gaps nearby,bull,Oversold,bull,Oversold (< -100),bull,Bounce off prior support,session (no premarket),231.02,207.91,bullish,222.19,R 38.2%,216.74,R 61.8%,231.02,E 100.0%,237.31,E 127.2%,245.3,E 161.8%,1.62,2.77,4.24,231.02,E 100.0%,,212.86,225.57,222.19,219.47,216.74,212.86,231.02,237.31,239.85,245.3,254.13,268.41
