ticker,company_name,price,chg_pct,net_score,bull,bear,verdict,bars,mode,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,sig_7,sig_7_label,sig_8,sig_8_label,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
HST,"Host Hotels & Resorts, Inc.",24.34,,8,8,0,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Wide divergence above SMA,bull,2 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+6.8% 10-bar),neutral,Intraday only,session,24.9,23.16,bullish,24.24,R 38.2%,23.82,R 61.8%,24.9,E 100.0%,25.37,E 127.2%,25.98,E 161.8%,1.57,2.69,4.14,24.9,E 100.0%,24.24,24.49,24.49,24.24,24.03,23.82,23.53,24.9,25.37,25.56,25.98,26.64,27.72
AES,The AES Corporation,14.67,,7,7,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Breakout above prior resistance,bull,Outperforming SPY moderately (+2.1% 10-bar),neutral,Intraday only,session,14.74,14.62,bullish,14.69,R 38.2%,14.67,R 61.8%,14.74,E 100.0%,14.77,E 127.2%,14.81,E 161.8%,2.5,4.0,6.0,14.74,E 100.0%,14.67,14.68,14.71,14.69,14.68,14.67,14.65,14.74,14.77,14.79,14.81,14.86,14.93
GRMN,Garmin Ltd.,238.58,,7,7,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+3.2% 10-bar),neutral,Intraday only,session,242.92,231.57,bullish,238.58,R 38.2%,235.91,R 61.8%,242.92,E 100.0%,246.01,E 127.2%,249.93,E 161.8%,1.63,2.78,4.25,242.92,E 100.0%,238.58,240.24,240.24,238.58,237.25,235.91,234.0,242.92,246.01,247.26,249.93,254.27,261.28
GS,"The Goldman Sachs Group, Inc.",1035.64,,7,7,0,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),bull,3 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,session,1098.36,1000.04,bullish,1060.8,R 38.2%,1037.6,R 61.8%,1098.36,E 100.0%,1125.1,E 127.2%,1159.12,E 161.8%,1.62,2.77,4.24,1098.36,E 100.0%,1021.08,1037.6,1075.16,1060.8,1049.2,1037.6,1021.08,1098.36,1125.1,1135.92,1159.12,1196.68,1257.44
INTC,Intel Corporation,116.96,,7,7,0,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),bull,10 open gap(s) below (support),bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,"Short-term bounce, weak medium-term RS",neutral,Intraday only,session,119.44,98.33,bullish,111.38,R 38.2%,106.39,R 61.8%,119.44,E 100.0%,125.18,E 127.2%,132.49,E 161.8%,1.62,2.77,4.23,119.44,E 100.0%,114.46,119.44,114.46,111.38,108.89,106.39,102.85,119.44,125.18,127.5,132.49,140.55,153.6
IVZ,Invesco Ltd.,28.29,,7,7,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,4 open gap(s) below (support),bull,%K above %D (bullish cross) · Wide,bull,Bullish zone,bull,Breakout above prior resistance,bull,Outperforming SPY strongly (+3.1% 10-bar),neutral,Intraday only,session,28.54,26.72,bullish,27.84,R 38.2%,27.42,R 61.8%,28.54,E 100.0%,29.04,E 127.2%,29.66,E 161.8%,1.67,2.86,4.33,28.54,E 100.0%,28.11,28.54,28.11,27.84,27.63,27.42,27.11,28.54,29.04,29.24,29.66,30.36,31.48
MRK,"Merck & Co., Inc.",120.76,,7,7,0,Strong bullish,251,Daily,bull,Inverted hammer,bull,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Breakout above prior resistance,bull,Outperforming SPY moderately (+3.0% 10-bar),neutral,Intraday only,session,123.46,114.5,bullish,120.04,R 38.2%,117.92,R 61.8%,123.46,E 100.0%,125.9,E 127.2%,129.0,E 161.8%,1.61,2.76,4.23,123.46,E 100.0%,120.04,121.35,121.35,120.04,118.98,117.92,116.42,123.46,125.9,126.88,129.0,132.42,137.96
PANW,"Palo Alto Networks, Inc.",279.53,,7,7,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Wide divergence above SMA,bull,2 open gap(s) below (support),bull,%K above %D (bullish cross) · Wide,bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+10.7% 10-bar),neutral,Intraday only,session,299.33,251.15,bullish,280.93,R 38.2%,269.55,R 61.8%,299.33,E 100.0%,312.43,E 127.2%,329.11,E 161.8%,1.62,2.77,4.23,299.33,E 100.0%,275.24,280.93,287.96,280.93,275.24,269.55,261.46,299.33,312.43,317.73,329.11,347.51,377.29
PCAR,PACCAR Inc,117.58,,7,7,0,Strong bullish,251,Daily,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,1 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+7.0% 10-bar),neutral,Intraday only,session,120.95,109.82,bullish,116.7,R 38.2%,114.07,R 61.8%,120.95,E 100.0%,123.98,E 127.2%,127.83,E 161.8%,1.62,2.77,4.23,120.95,E 100.0%,116.7,118.32,118.32,116.7,115.38,114.07,112.2,120.95,123.98,125.2,127.83,132.08,138.96
PFE,Pfizer Inc.,26.17,,7,7,0,Strong bullish,251,Daily,bull,Bullish bar,bull,Above trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross) · Wide,bull,Overbought (> +100) · Zero-line cross ↑,bull,Above SMA (acting as support),bull,Outperforming SPY moderately (+2.3% 10-bar),neutral,Intraday only,session,26.48,25.27,bullish,26.02,R 38.2%,25.73,R 61.8%,26.48,E 100.0%,26.81,E 127.2%,27.23,E 161.8%,1.59,2.72,4.17,26.48,E 100.0%,26.02,26.19,26.19,26.02,25.88,25.73,25.53,26.48,26.81,26.94,27.23,27.69,28.44
